Cliff Barker,1921,IN,Yorktown
Ralph Beard,1927,KY,Hardinsburg
Charlie Black,1921,ID,Arco
Nelson Bobb,1924,PA,Philadelphia
Jake Bornheimer,1927,NJ,New Brunswick
Vince Boryla,1927,IN,East Chicago
Don Boven,1925,MI,Kalamazoo
Harry Boykoff,1922,NY,Brooklyn
Joe Bradley,1928,OK,Washington
Carl Braun,1927,NY,Brooklyn
Frankie Brian,1923,LA,Zachary
Price Brookfield,1920,TX,Floydada
Bob Brown,1923,OH,Versailles
Jim Browne,1930,IL,Midlothian
Walt Budko,1925,NJ,Kearney
Tommy Byrnes,1923,NJ,Teaneck
Bill Calhoun,1927,CA,San Francisco
Don Carlson,1919,MN,Minneapolis
Al Cervi*,1917,NY,Buffalo
Leroy Chollet,1925,LA,New Orleans
Bill Closs,1922,TX,Edge
Jack Coleman,1924,KY,Burgin
Jack Cotton,1924,MT,Miles City
Dillard Crocker,1925,TN,Coffee County
Chink Crossin,1923,PA,Luzerne
Fran Curran,1922,IL,Sterling
Bob Davies*,1920,PA,Harrisburg
Hook Dillon,1924,GA,Savannah
Bob Doll,1919,CO,Steamboat Springs
Harry Donovan,1926,NJ,Union City
Dike Eddleman,1922,IL,Centralia
Gene Englund,1917,WI,Kenosha
Bob Evans,1925,IN,Indianapolis
Johnny Ezersky,1922,NY,New York
Bob Feerick,1920,CA,San Francisco
Arnie Ferrin,1925,UT,Salt Lake City
Jerry Fleishman,1922,NY,Brooklyn
Joe Fulks*,1921,KY,Birmingham
Elmer Gainer,1918,IL,Chicago
Harry Gallatin*,1927,IL,Roxana
Vern Gardner,1925,WY,Afton
Bud Grant,1927,WI,Superior
Don Grate,1923,OH,Greenfield
Alex Groza,1926,OH,Martins Ferry
Chick Halbert,1919,TX,Albany
Bruce Hale,1918,OR,Medford
Alex Hannum*,1923,CA,Los Angeles
John Hargis,1920,TX,Nacogdoches
Bob Harris,1927,TN,Linden
Bob Harrison,1927,TN,Linden
Marshall Hawkins,1924,WV,Huntington
Bill Henry,1924,TX,Dallas
Kleggie Hermsen,1923,MN,Hill City
Sonny Hertzberg,1922,NY,Brooklyn
Red Holzman*,1920,NY,Brooklyn
Gene James,1925,OH,Ironton
Tony Jaros,1920,MN,Minneapolis
Buddy Jeannette*,1917,PA,New Kensington
Arnie Johnson,1920,MN,Gonvick
George Kaftan,1928,NY,New York
Bob Kinney,1920,KS,Fort Scott
Walt Kirk,1924,IL,Mount Vernon
Leo Klier,1923,IN,Washington
Duane Klueh,1926,ND,Bottineau
Tony Lavelli,1926,MA,Somerville
Andrew Levane,1920,NY,Brooklyn
Freddie Lewis,1921,NY,Brooklyn
John Logan,1921,IN,Richmond
Ray Lumpp,1923,NY,Brooklyn
Ed Macauley*,1928,MO,St. Louis
John Mahnken,1922,NJ,New Jersey
John Mandic,1919,CA,Los Angeles
Slater Martin*,1925,TX,El Mina
Ariel Maughan,1923,UT,Salt Lake City
Matt Mazza,1923,NY,Niagara Falls
Dick McGuire*,1926,NY,Huntington
Bones McKinney,1919,NC,Lowlands
George Mikan*,1924,IL,Joliet
Vern Mikkelsen*,1928,CA,Fresno
Joe Mullaney,1925,NY,Long Island
Jerry Nagel,1928,IL,Chicago
Richie Niemiera,1921,IL,Chicago
Paul Noel,1924,KY,Midway
Jim Nolan,1927,GA,Macon
Johnny Norlander,1921,MN,Virginia
George Nostrand,1924,NY,Uniondale
Mike Novak,1915,IL,Chicago
Dick O'Keefe,1923,CA,San Francisco
John Oldham,1923,KY,Beaver Dam
Gene Ollrich,1922,IN,Whiting
Johnny Orr,1927,KS,Yale
Don Otten,1921,OH,Bellefontaine
Mac Otten,1925,OH,Bellefontaine
Easy Parham,1921,TX,Fort Worth
Jack Parkinson,1924,IN,Yorktown
Warren Perkins,1922,LA,New Orleans
Jack Phelan,1925,IL,Chicago
Andy Phillip*,1922,IL,Granite City
Jim Pollard*,1922,CA,Oakland
George Ratkovicz,1922,IL,Chicago
Don Ray,1921,TN,Mt. Juliet
Arnie Risen*,1924,KY,Williamstown
Tex Ritter,1924,KY,Richmond
Bill Roberts,1925,IN,Fort Wayne
Red Rocha,1923,HI,Hilo
Kenny Rollins,1923,MO,Charlestown
Jerry Rullo,1923,PA,Philadelphia
Ed Sadowski,1917,PA,Johnstown
Kenny Sailors,1921,NE,Bushnell
Herm Schaefer,1918,IN,Fort Wayne
Fred Schaus,1925,OH,Newark
Dolph Schayes*,1928,NY,New York
Howie Schultz,1922,MN,St. Paul
Dick Schulz,1917,WI,Racine
Fred Scolari,1922,CA,San Francisco
Wayne See,1923,AZ,Clemenceau
Rollie Seltz,1924,MN,McIntosh
Jim Seminoff,1922,CA,Los Angelse
George Senesky,1922,PA,Mahanoy City
Paul Seymour,1928,OH,Toledo
Carl Shaeffer,1924,IN,Delphi
Howie Shannon,1923,KS,Manhattan
Connie Simmons,1925,NJ,Newark
Belus Smawley,1918,NC,Golden Valley
Jack Smiley,1922,IL,Sandwich
Art Spector,1920,PA,Philadelphia
Jack Toomay,1922,CA,Ontario
Bob Tough,1920,NY,New York
Blackie Towery,1920,KY,Caldwell
Dick Triptow,1922,IL,Chicago
Floyd Volker,1921,WY,Casper
Clint Wager,1920,MN,Winona
Brady Walker,1921,UT,Provo
Paul Walther,1927,KY,Covington
Bobby Wanzer*,1921,NY,Brooklyn
Murray Wier,1926,IA,Grand View
Max Zaslofsky,1925,NY,Brooklyn
Paul Arizin*,1928,PA,Philadelphia
Ike Borsavage,1924,PA,Plymouth
Gerry Calabrese,1925,NJ,Hoboken
Nat Clifton*,1922,AR,Little Rock
Bob Cousy*,1928,NY,New York
Ray Ellefson,1922,SD,Brookings
Larry Foust,1928,OH,Painesville
Don Lofgran,1928,CA,Oakland
Tommy O'Keefe,1928,NJ,Jersey City
Kevin O'Shea,1925,CA,San Francisco
Don Rehfeldt,1927,IL,Chicago
Dick Schnittker,1928,OH,Kelleys Island
Bill Sharman*,1926,TX,Abilene
Elmer Behnke,1929,IL,Rockford
Dick Dickey,1926,IN,Grant County
Lew Hitch,1929,IL,Griggsville
Mel Hutchins,1928,CA,Sacramento
Neil Johnston*,1929,OH,Chillicothe
George King,1928,WV,Charleston
John McConathy,1930,LA,Sailes
Alfred McGuire*,1928,NY,New York
Dave Minor," Los Angeles""",MO,1922
Ralph O'Brien,1928,KY,Henshaw
John Pilch,1925,WY,Sheridan
Sam Ranzino,1927,IN,Gary
Whitey Skoog,1926,MN,Duluth
Jim Baechtold,1927,PA,McKeesport
Jim Brasco,1931,NY,Brooklyn
Dick Bunt,1930,NY,Queens
Gene Conley,1930,OK,Muskogee
Dick Groat,1930,PA,Wilkinsburg
Jack McCloskey,1925,PA,Mahanoy City
Monk Meineke,1930,OH,Dayton
Bill Mlkvy,1931,PA,Palmerton
Mark Workman,1930,WV,Charleston
Zeke Zawoluk,1930,NY,Brooklyn
Don Ackerman,1930,NY,New York
Don Asmonga,1928,PA,West Mifflin
Ernie Barrett,1929,KS,Pratt
Ernie Beck,1931,PA,Philadelphia
