fredevans/2513736,1921,MI,Grand Rapids ,"Evans, Fred"
jimraiff/2523700,1930,OH,Dayton ,"Raiff, Jim"
bobbyfowler/2514295,1960,TX,Temple ,"Fowler, Bobby"
quinnjohnson/79593,1986,LA,New Orleans ,"Johnson, Quinn"
l.t.walton/2552444,1992,MI,Detroit ,"Walton, L.T."
rosspetty/2523136,1892,IL,Sumner ,"Petty, Ross"
tomfarris/2513861,1920,WY,Casper ,"Farris, Tom"
jordanleggett/2557885,1995,FL,Navarre ,"Leggett, Jordan"
georgegonda/2515030,1919,PA,Alverton ,"Gonda, George"
johntanner/2527011,1945,FL,Orlando ,"Tanner, John"
floydraglin/2523695,1961,IL,Alton ,"Raglin, Floyd"
joeadams/2532782,1989,AR,Little Rock ,"Adams, Joe"
gusotto/2522592,1943,MO,St. Louis ,"Otto, Gus"
genethomas/2527241,1942,OH,Barberton ,"Thomas, Gene"
billdemory/2512778,1950,IA,Indianola ,"Demory, Bill"
clarenceverdin/2503464,1963,LA,New Orleans ,"Verdin, Clarence"
fredderiggi/2512828,1967,PA,Scranton ,"DeRiggi, Fred"
billschuler/2525128,1922,AL,Birmingham ,"Schuler, Bill"
jeffnady/2541732,1990,NV,Reno ,"Nady, Jeff"
ronrivera/2502679,1962,CA,Fort Ord ,"Rivera, Ron"
montaereagor/2502600,1977,TX,Waxahachie ,"Reagor, Montae"
randysealby/2525255,1960,MI,Ann Arbor ,"Sealby, Randy"
georgesergienko/2525335,1918,MA,Chicopee Falls ,"Sergienko, George"
normbeckwith/2509286,1896,OH,Cleveland ,"Beckwith, Norm"
joetafoya/2504656,1978,CA,San Luis Obispo Co. ,"Tafoya, Joe"
bryanhall/2530581,1988,IL,Carbondale ,"Hall, Bryan"
aldarby/2512457,1954,FL,Miami ,"Darby, Al"
miked'amato/2512416,1943,NY,Brooklyn ,"D'Amato, Mike"
howardsampson/2524829,1956,TX,Baytown ,"Sampson, Howard"
normbass/2509130,1939,MS,Laurel ,"Bass, Norm"
kurtcoleman/494261,1988,OH,Dayton ,"Coleman, Kurt"
billlarson/2519112,1953,IA,Greenfield ,"Larson, Bill"
t.j.carrie/2550164,1990,CA,Rodeo ,"Carrie, T.J."
fredweary/2503572,1974,FL,Jacksonville ,"Weary, Fred"
nateallen/2508043,1987,FL,Fort Myers ,"Allen, Nate"
chrisriley/2530729,1987,IL,Evanston ,"Riley, Chris"
breezyreid/2523928,1927,NJ,Bridgeton ,"Reid, Breezy"
brucegehrke/2514740,1924,NY,Long Island ,"Gehrke, Bruce"
davebaker/2508869,1937,KS,Coffeyville ,"Baker, Dave"
edellis/2500536,1975,CT,Hamden ,"Ellis, Ed"
jasonbaker/2504395,1978,IN,Fort Wayne ,"Baker, Jason"
fabianwashington/2506362,1983,FL,Bradenton ,"Washington, Fabian"
tommypharr/2523147,1947,GA,Canton ,"Pharr, Tommy"
winstonalderson/2499376,1973,AR,El Dorado ,"Alderson, Winston"
markbell/2509361,1957,OH,Jamestown ,"Bell, Mark"
danerandolph/2507719,1986,FL,Pensacola ,"Randolph, Dane"
devantebausby/2553790,1993,MO,Kansas City ,"Bausby, DeVante"
johnnyknolla/2518652,1919,IL,Chicago ,"Knolla, Johnny"
joelewis/2519453,1936,CA,Los Angeles ,"Lewis, Joe"
alnichelini/2522114,1909,CA,St. Helena ,"Nichelini, Al"
lanceharkey/2515842,1965,AL,Selma ,"Harkey, Lance"
timfoley/2514196,1958,OH,Cincinnati ,"Foley, Tim"
jasonwebster/2504264,1977,TX,Houston ,"Webster, Jason"
billmathis/2520333,1938,NC,Rocky Mount ,"Mathis, Bill"
trumainejohnson/2532877,1990,CA,Stockton ,"Johnson, Trumaine"
zanebeadles/496980,1986,WY,Casper ,"Beadles, Zane"
danfeeney/2557873,1994,IL,Orland Park ,"Feeney, Dan"
tonyelliott/2513563,1959,NY,New York ,"Elliott, Tony"
jimthaxton/2527193,1949,TN,Brownsville ,"Thaxton, Jim"
khaledholmes/2539307,1990,CA,San Diego ,"Holmes, Khaled"
tomsavage/2543640,1990,PA,Clifton Heights ,"Savage, Tom"
jackscarbath/2524989,1930,MD,Baltimore ,"Scarbath, Jack"
gregkindle/2518471,1950,TX,Houston ,"Kindle, Greg"
laremytunsil/2555201,1994,LA,Harvey ,"Tunsil, Laremy"
gregtaylor/2527085,1958,VA,Richmond ,"Taylor, Greg"
ericframpton/2495605,1984,CA,San Jose ,"Frampton, Eric"
chuckmalone/2520035,1910,TX,Hillsboro ,"Malone, Chuck"
bobgain/2514537,1929,OH,Akron ,"Gain, Bob"
tonydavis/2512597,1953,NE,Tecumseh ,"Davis, Tony"
perryriley/496949,1988,GA,Atlanta ,"Riley, Perry"
willblackmon/2495809,1984,RI,Providence ,"Blackmon, Will"
paulcarrington/2506618,1982,GA,Savannah ,"Carrington, Paul"
tommymaddox/2501842,1971,LA,Shreveport ,"Maddox, Tommy"
dariuseubanks/2541703,1991,KY,Fort Knox ,"Eubanks, Darius"
derrickjohnson/2506538,1982,CA,Long Beach ,"Johnson, Derrick"
waynefontes/2514211,1939,MA,New Bedford ,"Fontes, Wayne"
jerryball/2499510,1964,TX,Beaumont ,"Ball, Jerry"
lornejohnson/2517709,1909,FL,Orlando ,"Johnson, Lorne"
caldixon/2500408,1969,FL,Fort Lauderdale ,"Dixon, Cal"
lencalligaro/2510942,1921,WI,Hurley ,"Calligaro, Len"
marcusmaxey/2495899,1983,TX,Navasota ,"Maxey, Marcus"
georgezorich/2529686,1915,MI,Wakefield ,"Zorich, George"
charlielanham/2519066,1898,KY,,"Lanham, Charlie"
bradekwerekwu/2507143,1985,TX,Arlington ,"Ekwerekwu, Brad"
edkelley/2518265,1924,TX,Sugar Land ,"Kelley, Ed"
bernieleahy/2519215,1908,IL,Chicago ,"Leahy, Bernie"
jordancarstens/2505752,1981,IA,Carroll ,"Carstens, Jordan"
randallevans/2553355,1991,FL,Miami ,"Evans, Randall"
lamarmady/2539642,1990,KS,Topeka ,"Mady, Lamar"
adwenke/2528532,1898,NE,Pender ,"Wenke, Ad"
jimbobtaylor/2527093,1959,TX,San Antonio ,"Taylor, Jim Bob"
dallasneil/2503962,1976,MT,Great Falls ,"Neil, Dallas"
tomreynolds/2524014,1949,CA,Pasadena ,"Reynolds, Tom"
orlandothomas/2503317,1972,LA,Crowley ,"Thomas, Orlando"
titusyoung/2495253,1989,CA,Los Angeles ,"Young, Titus"
ralphcapron/2511043,1889,MN,Minneapolis ,"Capron, Ralph"
gilbertgardner/2506038,1982,TX,Angleton ,"Gardner, Gilbert"
larrymartin/2520254,1940,CA,Tulare Co. ,"Martin, Larry"
jayhagood/2500955,1973,SC,Easley ,"Hagood, Jay"
malikjackson/2532873,1990,CA,Los Angeles ,"Jackson, Malik"
artmay/2520410,1948,AL,Bessemer ,"May, Art"
leejohnson/2517703,1944,TX,Houston ,"Johnson, Lee"
gregfeasel/2513891,1958,CA,Barstow ,"Feasel, Greg"
rayfarmer/2500590,1974,NY,White Plains ,"Farmer, Ray"
jammiekirlew/496806,1987,NY,Tarrytown ,"Kirlew, Jammie"
