aardsda01,1981,CO,Denver,aardsda01,David Aardsma
aaronha01,1934,AL,Mobile,aaronha01,Hank Aaron
aaronto01,1939,AL,Mobile,aaronto01,Tommie Aaron
aasedo01,1954,CA,Orange,aasedo01,Don Aase
abadan01,1972,FL,Palm Beach,abadan01,Andy Abad
abadijo01,1850,PA,Philadelphia,abadijo01,John Abadie
abbated01,1877,PA,Latrobe,abbated01,Ed Abbaticchio
abbeybe01,1869,VT,Essex,abbeybe01,Bert Abbey
abbeych01,1866,NE,Falls City,abbeych01,Charlie Abbey
abbotda01,1862,OH,Portage,abbotda01,Dan Abbott
abbotfr01,1874,OH,Versailles,abbotfr01,Fred Abbott
abbotgl01,1951,AR,Little Rock,abbotgl01,Glenn Abbott
abbotje01,1972,GA,Atlanta,abbotje01,Jeff Abbott
abbotji01,1967,MI,Flint,abbotji01,Jim Abbott
abbotku01,1969,OH,Zanesville,abbotku01,Kurt Abbott
abbotky01,1968,MA,Newburyport,abbotky01,Kyle Abbott
abbotod01,1886,PA,New Eagle,abbotod01,Ody Abbott
abbotpa01,1967,CA,Van Nuys,abbotpa01,Paul Abbott
aberal01,1927,OH,Cleveland,aberal01,Al Aber
abercda01,1850,OK,Fort Towson,abercda01,Frank Abercrombie
abercre01,1980,GA,Columbus,abercre01,Reggie Abercrombie
abernbi01,1929,CA,Torrance,abernbi01,Bill Abernathie
abernbr01,1977,GA,Atlanta,abernbr01,Brent Abernathy
abernte01,1921,NC,Bynum,abernte01,Ted Abernathy
abernte02,1933,NC,Stanley,abernte02,Ted Abernathy
abernwo01,1915,NC,Forest City,abernwo01,Woody Abernathy
aberscl01,1921,IL,Chicago,aberscl01,Cliff Aberson
ablesha01,1883,TX,Terrell,ablesha01,Harry Ables
abnersh01,1966,OH,Hamilton,abnersh01,Shawn Abner
abramca01,1924,PA,Philadelphia,abramca01,Cal Abrams
abramge01,1899,WA,Seattle,abramge01,George Abrams
abregjo01,1962,TX,Corpus Christi,abregjo01,Johnny Abrego
abreujo01,1913,CA,Oakland,abreujo01,Joe Abreu
abstebi01,1883,MO,St. Louis,abstebi01,Bill Abstein
accarje01,1981,AZ,Phoenix,accarje01,Jeremy Accardo
achteaj01,1988,OH,Toledo,achteaj01,A. J. Achter
ackerji01,1958,TX,Freer,ackerji01,Jim Acker
ackerto01,1930,NJ,Paterson,ackerto01,Tom Acker
ackledu01,1988,NC,Winston-Salem,ackledu01,Dustin Ackley
acklefr01,1937,WI,Hayward,acklefr01,Fritz Ackley
acrema01,1968,CA,Concord,acrema01,Mark Acre
adairbi99,1913,AL,Mobile,adairbi99,Bill Adair
adairje01,1936,OK,Sand Springs,adairje01,Jerry Adair
adairji01,1907,TX,Waxahachie,adairji01,Jimmy Adair
adamsac01,1910,CA,Willows,adamsac01,Ace Adams
adamsau01,1986,AL,Montgomery,adamsau01,Austin Adams
adamsau02,1991,FL,Tampa,adamsau02,Austin Adams
adamsba01,1882,IN,Tipton,adamsba01,Babe Adams
adamsbe01,1891,TX,Wharton,adamsbe01,Bert Adams
adamsbo01,1901,MA,Holyoke,adamsbo01,Bob Adams
adamsbo02,1907,AL,Birmingham,adamsbo02,Bob Adams
adamsbo03,1921,CA,Tuolumne,adamsbo03,Bobby Adams
adamsbo04,1952,PA,Pittsburgh,adamsbo04,Bob Adams
adamsbu01,1915,CO,Trinidad,adamsbu01,Buster Adams
adamsda01,1887,MO,St. Louis,adamsda01,Dan Adams
adamsda02,1987,FL,Margate,adamsda02,David Adams
adamsdi01,1920,CA,Tuolumne,adamsdi01,Dick Adams
adamsdo01,1943,WI,Blue River,adamsdo01,Doug Adams
adamsge01,1855,MA,Worcester,adamsge01,George Adams
adamsgl01,1947,MA,Northbridge,adamsgl01,Glenn Adams
adamshe01,1928,CA,Hollywood,adamshe01,Herb Adams
adamsji01,1868,IL,East St. Louis,adamsji01,Jim Adams
adamsjo01,1877,IL,Cowden,adamsjo01,Joe Adams
adamsjo02,1971,CA,Lakewood,adamsjo02,Joel Adamson
adamska01,1891,GA,Columbus,adamska01,Karl Adams
adamsla01,1989,OK,Talihina,adamsla01,Lane Adams
adamsma01,1988,PA,Philipsburg,adamsma01,Matt Adams
adamsmi01,1947,CA,San Diego,adamsmi01,Mike Adamson
adamsmi02,1948,OH,Cincinnati,adamsmi02,Mike Adams
adamsmi03,1978,TX,Corpus Christi,adamsmi03,Mike Adams
adamsre01,1921,CA,Parlier,adamsre01,Red Adams
adamsri01,1878,TX,Paris,adamsri01,Rick Adams
adamsri02,1959,CA,Upland,adamsri02,Ricky Adams
adamsru01,1980,NC,Laurinburg,adamsru01,Russ Adams
adamsry01,1987,LA,New Orleans,adamsry01,Ryan Adams
adamssp01,1894,PA,Zerbe,adamssp01,Sparky Adams
adamssp02,1898,UT,Layton,adamssp02,Spencer Adams
adamste01,1973,AL,Mobile,adamste01,Terry Adams
adamswi01,1890,PA,Clearfield,adamswi01,Willie Adams
adamswi02,1972,NM,Gallup,adamswi02,Willie Adams
adcocjo01,1927,LA,Coushatta,adcocjo01,Joe Adcock
adcocna01,1988,KY,Elizabethtown,adcocna01,Nathan Adcock
addisbo01,1925,OH,Mineral,addisbo01,Bob Addis
adducji01,1959,IL,Chicago,adducji01,Jim Adduci
adenhni01,1986,MD,Silver Spring,adenhni01,Nick Adenhart
aderhmo01,1915,NC,Mount Olive,aderhmo01,Morrie Aderholt
adkinde01,1918,KS,Norcatur,adkinde01,Dewey Adkins
adkindi01,1920,TX,Electra,adkindi01,Dick Adkins
adkindo01,1872,WI,Troy,adkindo01,Doc Adkins
adkingr01,1897,AR,Jacksonville,adkingr01,Grady Adkins
adkinhe01,1874,MO,Fulton,adkinhe01,Harry Atkinson
adkinjo01,1977,WV,Huntington,adkinjo01,Jon Adkins
adkinst01,1964,IL,Chicago,adkinst01,Steve Adkins
adlemti01,1987,NY,Staten Island,adlemti01,Tim Adleman
adlesda01,1943,CA,Long Beach,adlesda01,Dave Adlesh
afenitr01,1963,CA,Escondido,afenitr01,Troy Afenir
affelje01,1979,AZ,Phoenix,affelje01,Jeremy Affeldt
agbaybe01,1971,HI,Honolulu,agbaybe01,Benny Agbayani
ageeto01,1942,AL,Magnolia,ageeto01,Tommie Agee
agganha01,1929,MA,Lynn,agganha01,Harry Agganis
aglerjo01,1887,OH,Coshocton,aglerjo01,Joe Agler
agnewsa01,1887,MO,Farmington,agnewsa01,Sam Agnew
aguilch01,1979,CA,Redwood City,aguilch01,Chris Aguila
aguilri01,1961,CA,San Gabriel,aguilri01,Rick Aguilera
aguirha01,1931,CA,Azusa,aguirha01,Hank Aguirre
ahearch01,1858,NY,Troy,ahearch01,Bill Ahearn
ahearpa01,1969,CA,San Francisco,ahearpa01,Pat Ahearne
ahmedni01,1990,MA,Springfield,ahmedni01,Nick Ahmed
aikenwi01,1954,SC,Seneca,aikenwi01,Willie Aikens
aingeda01,1959,OR,Eugene,aingeda01,Danny Ainge
ainswku01,1978,LA,Baton Rouge,ainswku01,Kurt Ainsworth
aitchra01,1887,SD,Tyndall,aitchra01,Raleigh Aitchison
aitonge01,1890,KS,Kingman,aitonge01,George Aiton
akejo01,1861,PA,Altoona,akejo01,John Ake
akerfda01,1962,CO,Denver,akerfda01,Darrel Akerfelds
akerja01,1940,CA,Tulare,akerja01,Jack Aker
akersbi01,1904,TN,Chattanooga,akersbi01,Bill Akers
akersje01,1887,IN,Shelbyville,akersje01,Jerry Akers
albanjo01,1933,NY,New York,albanjo01,Joe Albanese
alberbu01,1950,PA,Williamsport,alberbu01,Butch Alberts
albercy01,1882,MI,Grand Rapids,albercy01,Cy Alberts
albergu01,1860,PA,Reading,albergu01,Gus Alberts
alberma01,1983,TX,Houston,alberma01,Matt Albers
albosed01,1918,MI,Saginaw,albosed01,Ed Albosta
albreed01,1929,MO,St. Louis,albreed01,Ed Albrecht
albrija01,1921,FL,St. Petersburg,albrija01,Jack Albright
alburvi01,1947,FL,Key West,alburvi01,Vic Albury
alcocsc01,1885,OH,Wooster,alcocsc01,Scotty Alcock
alderda01,1918,NE,Belden,alderda01,Dale Alderson
aldremi01,1961,CA,Carmel,aldremi01,Mike Aldrete
aldresc01,1968,MI,Flint,aldresc01,Scott Aldred
aldrico01,1979,TX,San Angelo,aldrico01,Cory Aldridge
aldrija01,1961,LA,Alexandria,aldrija01,Jay Aldrich
aldrivi01,1893,IN,Crane,aldrivi01,Vic Aldridge
alenoch01,1917,MO,St. Louis,alenoch01,Chuck Aleno
alexada01,1903,TN,Greeneville,alexada01,Dale Alexander
alexado01,1950,AL,Cordova,alexado01,Doyle Alexander
alexaga01,1953,CA,Los Angeles,alexaga01,Gary Alexander
alexage01,1968,LA,Baton Rouge,alexage01,Gerald Alexander
alexahu01,1917,MO,Buffalo,alexahu01,Hugh Alexander
alexama01,1947,LA,Shreveport,alexama01,Matt Alexander
alexani01,1858,IL,Pana,alexani01,Nin Alexander
alexape01,1887,NE,Elba,alexape01,Pete Alexander
alexasc01,1989,CA,Santa Rosa,alexasc02,Scott Alexander
alexawa01,1891,GA,Atlanta,alexawa01,Walt Alexander
alfarja01,1977,TX,San Antonio,alfarja01,Jason Alfaro
alforan01,1994,MS,Columbia,alforan01,Anthony Alford
allanan01,1961,VA,Richmond,allanan01,Andy Allanson
allarbr01,1958,IL,Spring Valley,allarbr01,Brian Allard
allenbe01,1939,OH,East Liverpool,allenbe01,Bernie Allen
allenbo01,1867,OH,Marion,allenbo01,Bob Allen
