,1990,1990u,1990r,1980,1980u,1980r,1970,1970u,1970r,1960,1960u,1960r,1950,1950u,1950r,1940,1940u,1940r,1930,1930u,1930r,1920,1920u,1920r,1910,1910u,1910r,1900,1900u,1900r
UNITED STATES,248709873,187053487,61656386,226542199,167050992,59494813,203302031,149646629,53565297,179323175,125268750,54054425,151325798,96846817,54478981,132164569,74705338,57459231,123202624,69160599,54042025,106021537,54253282,51768255,92228496,42064001,50164495,76212168,30214832,45997336
AL,4040587,2439549,1601038,3894025,2337713,1556175,3444354,2017485,1426680,3266740,1791721,1475019,3061743,1340937,1720806,2832961,855941,1977020,2646248,744273,1901975,2348174,509317,1838857,2138093,370431,1767662,1828697,216714,1611983
AK,550043,371235,178808,401851,258567,143284,302853,171030,129352,226167,85767,140400,128643,34262,94381,72524,17374,55150,59278,7839,51439,55036,3058,51978,64356,6141,58215,63592,15605,47987
AZ,3665228,3206973,458255,2716546,2278728,439487,1775399,1408864,362036,1302161,970616,331545,749587,416000,333587,499261,173981,325280,435573,149856,285717,334162,120788,213374,204354,63260,141094,122931,19495,103436
AR,2350725,1258021,1092704,2286357,1179556,1106879,1923322,960865,962430,1786272,765303,1020969,1909511,630591,1278920,1949387,431910,1517477,1854482,382878,1471604,1752204,290497,1461707,1574449,202681,1371768,1311564,111733,1199831
CA,29760021,27571321,2188700,23667764,21607606,2060296,19971069,18144552,1808582,15717204,13573155,2144049,10586223,8539420,2046803,6907387,4902265,2005122,5677251,4160596,1516655,3426861,2326959,1099902,2377549,1468419,909130,1485053,776820,708233
CO,3294394,2715517,578877,2889735,2329869,560095,2209596,1733311,473948,1753947,1292790,461157,1325089,831318,493771,1123296,590756,532540,1035791,519882,515909,939629,453259,486370,799024,402192,396832,539700,260651,279049
CT,3287116,2601548,685568,3107564,2449774,657802,3032217,2376079,655630,2535234,1985567,549667,2007280,1558642,448638,1709242,1158162,551080,1606903,1131770,475133,1380631,936339,444292,1114756,731797,382959,908420,543755,364665
DE,666168,486501,179667,594338,419819,174519,548104,395569,152535,446292,292788,153504,318085,199122,118963,266505,139432,127073,230380,123146,115234,223003,120767,102236,202322,97085,105237,184735,85717,99018
DC,606900,606900,0,638432,638333,0,756668,756510,0,763956,763956,0,802178,802178,0,663091,663091,0,486869,486869,0,437571,437571,0,331069,331069,0,278718,278718,0
FL,12937926,10967328,1970598,9746961,8212385,1533939,6791418,5544551,1244892,4951560,3661383,1290177,2771305,1813890,957415,1897414,1045791,851623,1468211,759778,708433,968470,353515,614955,752619,219080,533539,528542,107031,421511
GA,6478216,4097339,2380877,5462982,3409081,2054024,4587930,2768074,1821501,3943116,2180236,1762880,3444578,1559447,1885131,3123723,1073808,2049915,2908506,895492,2013014,2895832,727859,2167973,2609121,538650,2070471,2216331,346382,1869949
HI,1108229,986171,122058,964691,834592,130099,769913,638683,129878,632772,483961,148811,499794,344869,154925,422770,264262,158508,368300,197937,170363,255881,92251,163630,191874,58928,132946,154001,39306,114695
ID,1006749,578214,428535,944127,509702,434233,713015,385434,327133,667191,317097,350094,588637,252549,336088,524873,176708,348165,445032,129507,315525,431866,119037,312829,325594,69898,255696,161772,10003,151769
IL,11430602,9668552,1762050,11427409,9518039,1908479,11110285,9251930,1862046,10081158,8140315,1940843,8712176,6759271,1952905,7897241,5809650,2087591,7630654,5635727,1994927,6485280,4403677,2081603,5638591,3479935,2158656,4821550,2616368,2205182
IN,5544159,3598099,1946060,5490210,3525298,1964926,5195392,3372060,1821609,4662498,2910149,1752349,3934224,2357196,1577028,3427796,1887712,1540084,3238503,1795892,1442611,2930390,1482855,1447535,2700876,1143835,1557041,2516462,862689,1653773
IA,2776755,1683065,1093690,2913808,1708232,1205576,2825368,1616405,1207971,2757537,1462512,1295025,2621073,1250938,1370135,2538268,1084231,1454037,2470939,979292,1491647,2404021,875495,1528526,2224771,680054,1544717,2231853,572386,1659467
KS,2477574,1712564,765010,2364236,1575899,787780,2249071,1484870,761708,2178611,1328741,849870,1905299,993220,912079,1801028,753941,1047087,1880999,729834,1151165,1769257,616485,1152772,1690949,492312,1198637,1470495,329696,1140799
KY,3685296,1910325,1774971,3660324,1862183,1798594,3220711,1684053,1534653,3038156,1353215,1684941,2944806,1084070,1860736,2845627,849327,1996300,2614589,799026,1815563,2416630,633543,1783087,2289905,555442,1734463,2147174,467668,1679506
LA,4219973,2871759,1348214,4206116,2887309,1318591,3644637,2422175,1219131,3257022,2060606,1196416,2683516,1471696,1211820,2363880,980439,1383441,2101593,833532,1268061,1798509,628163,1170346,1656388,496516,1159872,1381625,366288,1015337
ME,1227928,547824,680104,1125043,534072,590588,993722,504157,487891,969265,497114,472151,913774,472000,441774,847226,343057,504169,797423,321506,475917,768014,299569,468445,742371,262248,480123,694466,232827,461639
MD,4781468,3888429,893039,4216933,3386555,830420,3923897,3003935,918464,3100689,2253832,846857,2343001,1615902,727099,1821244,1080351,740893,1631526,974869,656657,1449661,869422,580239,1295346,658192,637154,1188044,591206,596838
MA,6016425,5069603,946822,5737093,4808339,928698,5689170,4810449,878721,5148578,4302530,846048,4690514,3959239,731275,4316721,3859476,457245,4249614,3831426,418188,3852356,3468916,383440,3366416,2995739,370677,2805346,2411877,393469
MI,9295297,6555842,2739455,9262044,6551551,2710527,8881826,6566483,2308600,7823194,5739132,2084062,6371766,4503084,1868682,5256106,3454867,1801239,4842325,3302075,1540250,3668412,2241560,1426852,2810173,1327044,1483129,2420982,952323,1468659
