elon,duke,68,97,2017,11,10,"Cameron Indoor Stadium, Durham, NC"
north-florida,michigan-st,66,98,2017,11,10,"Jack Breslin Students Events Center, East Lansing, MI"
northern-ariz,arizona,67,101,2017,11,10,"McKale Center, Tuscon, AZ"
tennessee-st,kansas,56,92,2017,11,10,"Allen Fieldhouse, Lawrence, KS"
utah-valley,kentucky,63,73,2017,11,10,"Rupp Arena, Lexington, KY"
columbia,villanova,60,75,2017,11,10,"Wells Fargo Center, Philadelphia, PA"
umkc,wichita-st,57,109,2017,11,10,"Charles Koch Arena, Wichita, KS"
uni,north-carolina,69,86,2017,11,10,"Dean Smith Center, Chapel Hill, NC"
cal-st-fullerton,southern-california,42,84,2017,11,10,"Galen Center, Los Angeles, CA"
west-virginia,texas-am,65,88,2017,11,10,"Ramstein Air Base, Ramstein,"
savannah-st,cincinnati,77,107,2017,11,10,"BB&T Arena at Northern Kentucky, Highland Heights, KY"
gardner-webb,miami-fl,45,77,2017,11,10,"Watsco Center, Coral Gables, FL"
sc-upstate,minnesota,77,92,2017,11,10,"Williams Arena, Minneapolis, MN"
morehead-st,xavier,49,101,2017,11,10,"Cintas Center, Cincinnati, OH"
texas-southern,gonzaga,69,97,2017,11,10,"McCarthey Athletic Center, Spokane, WA"
loyola-maryland,northwestern,75,79,2017,11,10,"Allstate Arena, Rosemont, IL"
siu-edwardsville,purdue,74,105,2017,11,10,"Mackey Arena, West Lafayette, IN"
ucla,georgia-tech,63,60,2017,11,10,"Yuanshen Sports Centre Stadium, Shanghai,"
fairleigh-dickinson,seton-hall,68,90,2017,11,10,"Prudential Center, Newark, NJ"
central-ark,baylor,66,107,2017,11,10,"Ferrell Center, Waco, TX"
lamar,tulsa,74,67,2017,11,10,"Reynolds Center, Tulsa, OK"
wheelock,new-hampshire,39,95,2017,11,10,"Lundholm Gymnasium, Durham, NH"
millsaps,jackson-st,46,84,2017,11,10,"Williams Assembly Center, Jackson, MS"
oglethorpe,citadel,73,109,2017,11,10,"McAlister Field House, Charleston, SC"
campbell,penn-st,75,86,2017,11,10,"Bryce Jordan Center, University Park, PA"
siena-heights,central-mich,48,108,2017,11,10,"McGuirk Arena, Mount Pleasant, MI"
walla-walla,eastern-wash,61,82,2017,11,10,"Reese Court, Cheney, WA"
bridgewater-va,james-madison,50,80,2017,11,10,"JMU Convocation Center, Harrisonburg, VA"
detroit,virginia-tech,79,111,2017,11,10,"Cassell Coliseum, Blacksburg, VA"
eureka,north-texas,65,122,2017,11,10,"UNT Coliseum, Denton, TX"
holy-cross,sacred-heart,69,64,2017,11,10,"William H. Pitt Center, Fairfield, CT"
memphis,alabama,70,82,2017,11,10,"Navy Alumni Hall, Annapolis, MD"
alabama-st,mississippi-st,68,96,2017,11,10,"Humphrey Coliseum, Starkville, MS"
