temple,north-carolina,67,91,2015,11,13
albany-ny,kentucky,65,78,2015,11,13
mt-st-marys,maryland,56,80,2015,11,13
northern-colo,kansas,72,109,2015,11,13
siena,duke,74,92,2015,11,13
morgan-st,virginia,48,86,2015,11,13
colorado,iowa-st,62,68,2015,11,13
charleston-so,wichita-st,63,88,2015,11,13
fairleigh-dickinson,villanova,54,91,2015,11,13
pacific,arizona,61,79,2015,11,13
fla-atlantic,michigan-st,55,82,2015,11,13
rice,california,65,97,2015,11,13
eastern-ill,indiana,49,88,2015,11,13
southern-utah,utah,71,82,2015,11,13
western-ill,wisconsin,69,67,2015,11,13
austin-peay,vanderbilt,41,80,2015,11,13
st-francis-pa,notre-dame,56,87,2015,11,13
maine,uconn,56,100,2015,11,13
mcneese-st,lsu,70,81,2015,11,13
stephen-f-austin,baylor,55,97,2015,11,13
nc-at,purdue,40,81,2015,11,13
northern-mich,michigan,44,70,2015,11,13
mcmurry,la-monroe,43,88,2015,11,13
fairfield,yale,57,70,2015,11,13
minn-morris,north-dakota,69,99,2015,11,13
jacksonville-st,central-mich,83,89,2015,11,13
northwestern-st,ole-miss,76,90,2015,11,13
ferrum,army,54,93,2015,11,13
quinnipiac,sacred-heart,64,76,2015,11,13
south-dakota,wright-st,69,77,2015,11,13
robert-morris,penn,75,76,2015,11,13
wagner,st-johns-ny,57,66,2015,11,13
colgate,george-mason,66,53,2015,11,13
samford,louisville,45,86,2015,11,13
nc-central,clemson,40,74,2015,11,13
lafayette,george-washington,76,85,2015,11,13
princeton,rider,64,56,2015,11,13
covenant,liberty,62,64,2015,11,13
lehigh,syracuse,47,57,2015,11,13
northeastern,boston-u,87,84,2015,11,13
iupui,indiana-st,72,70,2015,11,13
milligan,unc-wilmington,62,100,2015,11,13
rutgers-newark,rutgers,59,72,2015,11,13
niagara,old-dominion,50,67,2015,11,13
seton-hill,duquesne,71,96,2015,11,13
western-caro,cincinnati,72,97,2015,11,13
canisius,hofstra,85,96,2015,11,13
dartmouth,seton-hall,67,84,2015,11,13
presbyterian,furman,53,63,2015,11,13
unc-asheville,tennessee,78,82,2015,11,13
middle-ga-st,georgia-st,54,73,2015,11,13
james-madison,richmond,87,75,2015,11,13
northern-ky,west-virginia,61,107,2015,11,13
chattanooga,georgia,92,90,2015,11,13
trinity-baptist,fiu,39,71,2015,11,13
south-carolina-st,col-of-charleston,54,74,2015,11,13
shenandoah,bucknell,61,107,2015,11,13
southeast-mo-st,dayton,53,84,2015,11,13
miami-oh,xavier,72,81,2015,11,13
prairie-view,vcu,50,75,2015,11,13
coppin-st,eastern-ky,80,107,2015,11,13
holy-cross,marist,67,64,2015,11,13
utrgv,miami-fl,59,86,2015,11,13
fla-christian,florida-am,71,103,2015,11,13
randolph,longwood,49,69,2015,11,13
lyndon-st,new-hampshire,45,82,2015,11,13
millsaps,louisiana-tech,33,95,2015,11,13
texas-southern,new-mexico,57,86,2015,11,13
webber-intl,ga-southern,49,116,2015,11,13
allen,mercer,70,96,2015,11,13
tennessee-st,loyola-maryland,86,71,2015,11,13
milwaukee,denver,71,58,2015,11,13
sacramento-st,arizona-st,66,63,2015,11,13
cincinnati-christian,morehead-st,51,87,2015,11,13
mit,harvard,39,59,2015,11,13
cal-st-northridge,northern-ill,71,83,2015,11,13
air-force,southern-ill,75,77,2015,11,13
uc-santa-barbara,neb-omaha,60,59,2015,11,13
william-mary,north-carolina-st,85,68,2015,11,13
utsa,loyola-il,64,76,2015,11,13
fla-national,savannah-st,69,87,2015,11,13
grambling,east-carolina,53,61,2015,11,13
umbc,wake-forest,73,78,2015,11,13
san-francisco,ill-chicago,78,75,2015,11,13
american,rhode-island,42,65,2015,11,13
ball-st,bradley,53,54,2015,11,13
ut-martin,oklahoma-st,57,91,2015,11,13
san-diego,southern-california,45,83,2015,11,13
austin,lamar,58,101,2015,11,13
simpson,drake,52,97,2015,11,13
umass-lowell,northwestern,57,79,2015,11,13
hartford,central-conn-st,92,83,2015,11,13
binghamton,st-bonaventure,53,63,2015,11,13
louisiana-col,la-lafayette,68,108,2015,11,13
missouri-st,oral-roberts,65,80,2015,11,13
delaware,delaware-st,62,56,2015,11,13
harris-stowe,murray-st,55,105,2015,11,13
md-east-shore,kansas-st,53,80,2015,11,13
trinity-fl,bethune-cookman,54,108,2015,11,13
north-florida,illinois,93,81,2015,11,13
southern-u,arkansas,68,86,2015,11,13
aub-montgomery,south-ala,68,88,2015,11,13
iit,chicago-st,59,137,2015,11,13
montreat,campbell,42,87,2015,11,13
troy,south-fla,82,77,2015,11,13
north-dakota-st,uc-davis,79,71,2015,11,13
ipfw,valparaiso,64,78,2015,11,13
elon,charlotte,85,74,2015,11,13
our-lady-of-the-lake,am-corpus-chris,72,94,2015,11,13
brown,st-peters,65,77,2015,11,13
cornell,georgia-tech,81,116,2015,11,13
kennesaw-st,alabama,64,77,2015,11,13
jarvis-christian,north-texas,82,112,2015,11,13
northern-ariz,washington-st,70,82,2015,11,13
pitt-bradford,buffalo,49,109,2015,11,13
umkc,minnesota,58,76,2015,11,13
arkansas-st,siu-edwardsville,70,79,2015,11,13
houston-baptist,new-mexico-st,69,91,2015,11,13
green-bay,stanford,89,93,2015,11,13
bristol,wyoming,62,101,2015,11,13
eastern-wash,mississippi-st,88,106,2015,11,13
utah-valley,byu,54,85,2015,11,13
alabama-am,tulane,68,67,2015,11,13
high-point,texas-tech,73,77,2015,11,13
boise-st,montana,72,74,2015,11,13
wofford,missouri,74,83,2015,11,13
utah-st,weber-st,73,70,2015,11,13
nevada,coastal-caro,73,56,2015,11,13
belmont,marquette,83,80,2015,11,13
southeastern-la,tcu,77,90,2015,11,13
usc-upstate,texas-am,64,104,2015,11,13
uab,auburn,74,75,2015,11,13
florida,navy,59,41,2015,11,13
chadron-st,south-dakota-st,52,87,2015,11,13
gardner-webb,iowa,59,76,2015,11,13
illinois-st,san-diego-st,60,71,2015,11,13
cal-poly,unlv,72,74,2015,11,13
uc-san-diego,uc-irvine,73,89,2015,11,13
jackson-st,oregon,52,80,2015,11,13
pepperdine,fresno-st,66,69,2015,11,13
cal-st-fullerton,loyola-marymount,74,79,2015,11,13
texas,washington,71,77,2015,11,13
lipscomb,santa-clara,65,63,2015,11,13
great-falls,idaho-st,72,78,2015,11,13
oregon-tech,portland,81,98,2015,11,13
ark-pine-bluff,seattle,58,56,2015,11,13
monmouth,ucla,84,81,2015,11,13
san-fran-st,st-marys-ca,56,80,2015,11,13
kean,columbia,62,107,2015,11,13
vermont,eastern-mich,50,70,2015,11,13
montana-st,hawaii,76,87,2015,11,13
njit,kentucky,57,87,2015,11,14
bryant,duke,75,113,2015,11,14
citadel,butler,71,144,2015,11,14
vmi,penn-st,50,62,2015,11,14
new-orleans,bowling-green,61,79,2015,11,14
st-francis-ny,boston-college,49,75,2015,11,14
jacksonville,appalachian-st,68,76,2015,11,14
west-va-tech,toledo,65,96,2015,11,14
towson,la-salle,76,78,2015,11,14
averett,east-tenn-st,59,107,2015,11,14
central-baptist,ualr,57,76,2015,11,14
hampton,winthrop,95,102,2015,11,14
south-dakota,northern-ill,65,72,2015,11,14
central-ark,tulsa,81,98,2015,11,14
greensboro,unc-greensboro,69,86,2015,11,14
alabama-st,virginia-tech,85,82,2015,11,14
norfolk-st,south-carolina,69,84,2015,11,14
baptist-bible-pa,liberty,52,90,2015,11,14
merchant-marine,stony-brook,32,103,2015,11,14
william-jessup,uc-riverside,68,100,2015,11,14
harvard,providence,64,76,2015,11,14
