2555365,Pre,1,08/10,NE,5,7,85,1,0
2555365,Pre,2,08/17,TB,10,15,144,1,0
2555365,Pre,3,08/24,CAR,1,5,22,0,0
2555365,Pre,4,08/31,ATL,22,31,265,1,3
2555365,Reg,1,09/10,IND,--,--,--,--,--
2555365,Reg,2,09/17,WAS,--,--,--,--,--
2555365,Reg,3,09/21,SF,--,--,--,--,--
2555365,Reg,4,10/01,DAL,--,--,--,--,--
2555365,Reg,5,10/08,SEA,--,--,--,--,--
2555365,Reg,6,10/15,JAX,--,--,--,--,--
2555365,Reg,7,10/22,ARI,--,--,--,--,--
2555365,Reg,9,11/05,NYG,--,--,--,--,--
2555365,Reg,10,11/12,HOU,--,--,--,--,--
2506546,Pre,1,08/09,HOU,4,5,76,1,0
2506546,Pre,2,08/19,TEN,7,12,88,0,1
2506546,Pre,3,08/24,JAX,10,19,66,0,1
2506546,Pre,4,08/31,PIT,2,4,10,0,0
2506546,Reg,1,09/10,SF,--,--,--,--,--
2506546,Reg,2,09/17,BUF,--,--,--,--,--
2506546,Reg,3,09/24,NO,2,7,17,0,0
2506546,Reg,4,10/01,NE,--,--,--,--,--
2506546,Reg,5,10/08,DET,--,--,--,--,--
2506546,Reg,6,10/12,PHI,--,--,--,--,--
2506546,Reg,7,10/22,CHI,--,--,--,--,--
2506546,Reg,8,10/29,TB,--,--,--,--,--
2506546,Reg,9,11/05,ATL,--,--,--,--,--
2506546,Reg,10,11/13,MIA,--,--,--,--,--
2539308,Pre,1,08/11,KC,10,17,168,0,0
2539308,Pre,2,08/19,DEN,1,2,10,0,0
2539308,Pre,3,08/27,MIN,2,2,19,0,0
2539308,Pre,4,08/31,LAC,--,--,--,--,--
2557922,Pre,1,08/11,KC,7,11,101,2,0
2557922,Pre,2,08/19,DEN,7,12,110,1,0
2557922,Pre,3,08/27,MIN,7,13,159,1,1
2557922,Pre,4,08/31,LAC,5,9,31,0,0
2557922,Reg,1,09/10,CAR,--,--,--,--,--
2557922,Reg,2,09/17,SEA,--,--,--,--,--
2557922,Reg,3,09/21,LA,--,--,--,--,--
2557922,Reg,4,10/01,ARI,--,--,--,--,--
2557922,Reg,5,10/08,IND,--,--,--,--,--
2557922,Reg,6,10/15,WAS,19,36,245,1,1
2557922,Reg,7,10/22,DAL,22,38,235,0,0
2557922,Reg,8,10/29,PHI,17,36,167,1,2
2557922,Reg,9,11/05,ARI,24,51,294,0,1
2557922,Reg,10,11/12,NYG,19,25,288,2,1
2556794,Pre,1,08/13,SEA,4,6,68,0,0
2556794,Pre,2,08/20,NO,--,--,--,--,--
2556794,Pre,3,08/26,LA,5,9,62,0,0
2556794,Pre,4,08/31,SF,3,6,46,0,2
2543477,Pre,1,08/10,NE,3,5,16,0,0
2543477,Pre,2,08/17,TB,8,13,65,0,0
2543477,Pre,3,08/24,CAR,12,16,125,1,1
2543477,Pre,4,08/31,ATL,--,--,--,--,--
2543477,Reg,1,09/10,HOU,11,21,125,1,0
2543477,Reg,2,09/17,TEN,20,34,223,1,2
2543477,Reg,3,09/24,BAL,20,31,244,4,0
2543477,Reg,4,10/01,NYJ,15,35,140,1,1
2543477,Reg,5,10/08,PIT,8,14,95,0,1
2543477,Reg,6,10/15,LA,23,35,241,1,1
2543477,Reg,7,10/22,IND,18,26,330,1,0
2543477,Reg,9,11/05,CIN,24,38,259,1,0
