retro_game_id,year,st_fl,regseason_fl,playoffs_fl,game_type,game_type_des,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,interleague_fl,inning,bat_home_id,park_id,park_name,park_lock,pit_id,bat_id,pit_hand_cd,bat_hand_cd,pa_ball_ct,pa_strike_ct,outs_ct,pitch_seq,pa_terminal_fl,pa_event_cd,start_bases_cd,end_bases_cd,event_outs_ct,ab_number,pitch_res,pitch_des,pitch_id,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,pitch_type_seq,type_conf,zone,spin_dir,spin_rate,sv_id
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,543807,L,R,0,0,0,F,F,3,0,0,1,1,F,"Foul",3,129.53,176.81,93.5,85.5,3.49,1.601,1.9483833854199033,13.503052179017308,-0.33552970586458286,2.301696537985482,0.9694990844104255,50.000000000000036,6.059598096302172,-4.1762759409333325,-135.6440772008908,-8.772328994635057,3.637316197157395,29.116120757718342,-6.966037253656892,23.8,-17.4,2.0,FF,FF,.906,4,171.791,2724.042,171025_001108
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,543807,L,R,0,1,0,FC,F,3,0,0,1,1,C,"Called Strike",4,121.12,189.7,73.5,67.9,3.49,1.601,-1.2534317471530958,-8.269236200674184,-0.12574043307431765,1.8540917542548474,0.7419554908204898,50.00000000000006,6.5269165441783485,-1.484589465275201,-106.94407659433399,0.06004585949545661,-1.4421820350167682,19.563352941817296,-41.68852265444927,23.9,2.3,14.7,CU,FF|CU,.905,8,351.383,1305.465,171025_001130
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,543807,L,R,0,2,0,FCF,F,3,0,0,1,1,F,"Foul",5,69.52,183.82,91.4,83.9,3.49,1.601,-0.35277269335613914,9.942785507876984,1.1675292015397212,2.0561061972939374,1.2833594162569435,49.99999999999996,6.08043908372437,-0.18364329763871434,-132.61319170456142,-7.830284913234207,-0.632250931312776,26.65333696093423,-14.354258318720431,23.8,2.4,3.6,FF,FF|CU|FF,.779,14,182.030,1950.698,171025_001145
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,543807,L,R,0,2,0,FCFS,T,3,0,0,1,1,S,"Swinging Strike",6,145.59,211.67,89.8,82.7,3.49,1.601,0.05217200181378874,8.906486347823325,-0.8053013503494878,1.0066311834446438,0.8946300348137783,49.99999999999998,6.123775228787856,-4.3828078481918675,-130.133031760473,-9.84677790276724,0.08936664069440677,27.58787496084928,-16.917920027254407,23.8,2.3,4.5,SL,FF|CU|FF|SL,.801,13,179.666,1700.846,171025_001212
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,608324,L,R,0,0,1,B,F,2,0,0,1,2,B,"Ball",10,174.42,207.02,93.9,85.4,3.371,1.535,-0.8951818739031061,14.206977864588865,-1.5410897308658917,1.1560577501384468,0.8702771061382741,49.99999999999998,5.905322230439466,-6.150370216798426,-135.91982112377428,-11.66604861277736,-1.6690979147413767,30.708732482032293,-5.684641409287028,23.8,20.0,1.9,FF,FF,.898,13,183.604,2833.031,171025_001248
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,608324,L,R,1,0,1,BB,F,2,0,0,1,2,B,"Ball",11,136.45,149.15,94.0,84.6,3.371,1.535,1.6884924741158753,14.73300142478494,-0.547397407605261,3.3640714036530914,0.9334945630294891,50,6.103121488100467,-4.5590355791106685,-136.28029176802744,-6.473275383503638,3.150976729681602,32.10458656027329,-4.680088494706557,23.7,-18.6,1.4,FF,FF|FF,.903,1,173.464,2946.044,171025_001304
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,608324,L,R,2,0,1,BBX,T,2,0,0,1,2,X,"In play, out(s)",12,140.74,170.12,94.7,85.9,3.371,1.535,3.406506129404477,15.602453147761826,-0.6396776591887142,2.5672965318219934,1.0899306450196329,49.99999999999999,5.964567004946114,-5.865999907071361,-137.22998216038187,-8.689715011043745,6.449922229544392,32.38042033911276,-2.6321644175732657,23.7,-47.4,1.5,FF,FF|FF|FF,.897,4,167.685,3196.706,171025_001328
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,514888,L,R,0,0,2,S,F,2,0,0,1,3,S,"Swinging Strike",16,126.72,188.24,91.4,83.7,3.104,1.448,0.7265341332286153,8.85499811750134,-0.24757928118686612,1.8789016015075333,1.0456478512776999,50.00000000000002,6.036251273999389,-3.6355476361604815,-132.63097817278285,-7.766355838874038,1.295937548407204,28.00029612312266,-16.37916153501896,23.8,-1.8,4.1,FF,FF,.904,7,175.311,1733.522,171025_001404
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,0,22,Dodger Stadium,"Los Angeles, CA",477132,514888,L,R,0,1,2,SX,T,2,0,0,1,3,X,"In play, out(s)",17,138.06,204.03,74.9,68.5,3.104,1.448,-1.022047759172014,-6.665217538469435,-0.5532999956959428,1.3237446645384336,0.5972499256652402,49.99999999999991,6.437284901110764,-2.16648955378651,-108.74261554506647,-1.4832104287813241,-1.1975961790243237,22.875559025640786,-39.98409362017924,23.8,2.2,14.0,CU,FF|CU,.887,13,351.284,1054.157,171025_001423
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,621035,L,R,0,0,0,X,T,23,0,0,0,4,X,"In play, run(s)",22,130.11,186.61,87.9,81.6,3.411,1.565,2.381125405509585,10.38079610185087,-0.34002483978203824,1.9373625237118348,0.6312098686787212,50.00000000000006,6.076162102055707,-3.247098017205142,-127.78650010556541,-7.567253476724267,3.9814555844948507,23.562650272514716,-14.816424923679634,23.9,-11.9,4.0,FF,FF,.652,7,167.083,2021.813,171025_001753
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,457759,L,R,0,0,0,C,F,3,0,0,1,5,C,"Called Strike",27,82.51,182.54,89.8,83.0,3.319,1.513,7.514121996927363,7.563204507856048,0.842528614725536,2.0626537600261536,0.7853483280971468,50.00000000000006,6.057950841580178,-2.382697041639794,-130.57991576224123,-6.674214150561265,13.101438534048137,24.964984116199982,-18.9870309620088,23.9,-32.1,5.5,FT,FT,.916,14,135.187,2065.273,171025_001838
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,457759,L,R,0,1,0,CC,F,3,0,0,1,5,C,"Called Strike",28,124.72,179.11,88.3,80.6,3.319,1.513,-1.2265746864916454,6.308796146830785,-0.21448760755400256,2.2032117459887384,0.8267717444633556,49.99999999999995,6.141668720152702,-2.23045093611029,-128.1337810101373,-5.671661468959328,-2.037873844853689,26.636712931212102,-21.69239521584704,23.8,6.2,5.6,FF,FT|FF,.963,5,191.001,1208.992,171025_001857
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,457759,L,R,0,2,0,CCB,F,3,0,0,1,5,B,"Ball",29,110.64,0.00,80.6,75.0,3.319,1.513,-3.7959190768390316,1.2119994959916196,0.15221629523421334,-0.7519928721242879,0.887645854885197,50,5.833574471840103,-0.5591657389477018,-116.8976579214566,-8.559112106379672,-5.234572807573589,22.739442162546098,-30.50270112354636,23.9,9.4,9.5,SL,FT|FF|SL,.900,14,252.292,681.957,171025_001919
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,457759,L,R,1,2,0,CCBF,F,3,0,0,1,5,F,"Foul",30,152.75,209.29,88.2,81.7,3.319,1.513,-0.5774166984093885,6.3672610845582565,-0.9648188706424833,1.083984388566408,0.7060730275057512,50.00000000000003,5.992704894866798,-4.037499702254955,-127.94985773284807,-8.154560025997345,-0.9608207320344464,25.46828521691421,-21.578933324791972,23.8,4.2,5.6,FF,FT|FF|SL|FF,.975,13,185.180,1206.270,171025_001949
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,457759,L,R,1,2,0,CCBFB,F,3,0,0,1,5,B,"Ball",31,126.12,134.73,91.7,83.1,3.319,1.513,-0.35540140214393584,12.178239041317841,-0.20144630274377273,3.905906095523485,0.766769642863865,50.00000000000004,6.263032052876658,-2.4188893005781678,-133.06393928909938,-4.1986105528636655,-0.635037589255175,29.459610616643786,-10.413752970878283,23.8,5.8,2.6,FF,FT|FF|SL|FF|FF,.989,11,181.670,2373.507,171025_002018
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,457759,L,R,2,2,0,CCBFBF,F,3,0,0,1,5,F,"Foul",32,85.52,183.48,91.0,83.4,3.319,1.513,8.04798103221442,8.984933425591528,0.8052412073600541,2.050127222568474,1.0359128930299923,50.000000000000014,5.964887798235321,-3.3226191998472574,-132.08812528107455,-7.059616025308124,14.17911814230371,28.863060438645213,-16.344186131028835,23.8,-37.1,5.2,FT,FT|FF|SL|FF|FF|FT,.913,14,138.150,2334.157,171025_002041
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,457759,L,R,2,2,0,CCBFBFS,T,3,0,0,1,5,S,"Swinging Strike",33,97.92,148.1,87.2,80.5,3.319,1.513,-1.149514019850626,4.895260708622876,0.4971152314187554,3.395761657791927,0.949154880596204,49.999999999999986,6.310078262287451,-0.7608459158675015,-126.81660232795195,-2.54024275644141,-1.8938319383772388,23.101382468560935,-24.109074213726995,23.9,4.7,6.1,FC,FT|FF|SL|FF|FF|FT|FC,.905,12,193.213,947.724,171025_002128
LAN201710240,2017,F,F,T,W,World Series,526511,lan,NL,hou,AL,T,1,1,22,Dodger Stadium,"Los Angeles, CA",572971,641355,L,L,0,0,1,B,F,2,0,0,1,6,B,"Ball",37,77.23,241.7,90.9,84.3,3.549,1.627,7.876346772156413,8.810671764384443,1.0533091255410914,-0.13470977095894593,0.895094718398426,50.00000000000002,5.788353134039445,-2.25859846925804,-131.6748417610783,-12.263405152632263,13.930397625870683,26.0273047006778,-16.59116926234068,23.9,-35.5,5.3,FT,FT,.916,14,138.206,2302.930,171025_002212
