andrew-lopez,duke,michigan-state,west-virginia,arizona-state,villanova,virginia,oklahoma,xavier,tcu,texas-am,wichita-state,north-carolina,purdue,kansas,arizona,texas-tech,kentucky,miami-fl,cincinnati,gonzaga,florida-state,baylor,seton-hall,arkansas,tennessee
antonio-morales,duke,michigan-state,villanova,arizona-state,xavier,oklahoma,kansas,west-virginia,purdue,virginia,north-carolina,kentucky,wichita-state,arizona,miami-fl,tcu,texas-tech,texas-am,cincinnati,gonzaga,arkansas,seton-hall,clemson,tennessee,notre-dame
bj-rains,duke,michigan-state,arizona-state,villanova,west-virginia,virginia,xavier,north-carolina,kentucky,oklahoma,texas-am,kansas,tcu,miami-fl,wichita-state,arizona,purdue,gonzaga,seton-hall,texas-tech,cincinnati,florida-state,baylor,arkansas,tennessee
bob-holt,michigan-state,duke,villanova,arizona-state,west-virginia,xavier,kansas,miami-fl,virginia,north-carolina,oklahoma,arizona,texas-am,purdue,wichita-state,tcu,texas-tech,arkansas,tennessee,gonzaga,kentucky,ucla,cincinnati,seton-hall,florida-state
brant-wilkerson-new,michigan-state,duke,wichita-state,villanova,xavier,arizona-state,west-virginia,kansas,virginia,oklahoma,arizona,tcu,miami-fl,north-carolina,texas-am,kentucky,purdue,texas-tech,cincinnati,seton-hall,gonzaga,creighton,clemson,notre-dame,arkansas
brian-mcinnis,michigan-state,duke,villanova,xavier,west-virginia,virginia,oklahoma,tcu,purdue,arizona,arizona-state,texas-am,kansas,wichita-state,north-carolina,texas-tech,miami-fl,seton-hall,cincinnati,arkansas,ucla,tennessee,kentucky,butler,gonzaga
carlos-silva,michigan-state,duke,villanova,arizona-state,xavier,kansas,west-virginia,wichita-state,purdue,north-carolina,kentucky,gonzaga,miami-fl,virginia,oklahoma,texas-tech,arizona,cincinnati,tcu,seton-hall,texas-am,baylor,arkansas,tennessee,creighton
cecil-hurt,duke,michigan-state,arizona-state,villanova,oklahoma,west-virginia,virginia,xavier,purdue,tcu,arizona,texas-am,kansas,kentucky,wichita-state,north-carolina,miami-fl,cincinnati,texas-tech,arkansas,gonzaga,tennessee,seton-hall,florida-state,clemson
chris-dachille,duke,michigan-state,villanova,west-virginia,oklahoma,wichita-state,miami-fl,xavier,tcu,arizona-state,kansas,kentucky,texas-am,purdue,virginia,north-carolina,cincinnati,arizona,seton-hall,gonzaga,clemson,texas-tech,florida-state,baylor,butler
chris-murray,duke,villanova,michigan-state,arizona-state,xavier,west-virginia,oklahoma,tcu,miami-fl,kentucky,wichita-state,north-carolina,virginia,kansas,purdue,texas-am,texas-tech,arizona,cincinnati,seton-hall,gonzaga,arkansas,butler,clemson,baylor
craig-meyer,duke,michigan-state,villanova,arizona-state,xavier,oklahoma,west-virginia,virginia,purdue,texas-am,tcu,texas-tech,north-carolina,miami-fl,arizona,kansas,wichita-state,seton-hall,kentucky,arkansas,clemson,cincinnati,gonzaga,florida-state,tennessee
dave-borges,michigan-state,duke,villanova,arizona-state,xavier,wichita-state,miami-fl,kentucky,texas-am,purdue,west-virginia,oklahoma,kansas,tcu,north-carolina,seton-hall,texas-tech,virginia,cincinnati,gonzaga,arizona,arkansas,clemson,st-bonaventure,florida-state
dave-matter,duke,michigan-state,villanova,arizona-state,xavier,oklahoma,texas-am,west-virginia,virginia,purdue,wichita-state,kansas,tcu,north-carolina,arizona,arkansas,miami-fl,tennessee,gonzaga,kentucky,clemson,seton-hall,texas-tech,cincinnati,butler
david-cloninger,michigan-state,xavier,west-virginia,purdue,villanova,oklahoma,texas-am,north-carolina,miami-fl,tcu,kentucky,arizona,arizona-state,wichita-state,duke,virginia,texas-tech,baylor,seton-hall,kansas,gonzaga,cincinnati,creighton,arkansas,florida-state
david-cobb,duke,michigan-state,villanova,xavier,west-virginia,oklahoma,wichita-state,kansas,virginia,miami-fl,arizona,arizona-state,texas-am,north-carolina,kentucky,purdue,gonzaga,tcu,texas-tech,seton-hall,cincinnati,arkansas,tennessee,clemson,notre-dame
dick-vitale,michigan-state,duke,arizona,arizona-state,villanova,west-virginia,xavier,oklahoma,wichita-state,kansas,texas-am,virginia,north-carolina,purdue,tcu,kentucky,miami-fl,gonzaga,cincinnati,seton-hall,texas-tech,florida-state,arkansas,clemson,creighton
doug-doughty,michigan-state,duke,kansas,north-carolina,kentucky,villanova,west-virginia,xavier,virginia,arizona-state,oklahoma,purdue,texas-tech,cincinnati,wichita-state,tcu,miami-fl,florida-state,texas-am,clemson,seton-hall,syracuse,arizona,gonzaga,mississippi-state
doug-haller,michigan-state,duke,villanova,arizona-state,xavier,oklahoma,purdue,arizona,texas-am,wichita-state,west-virginia,north-carolina,kansas,virginia,tcu,miami-fl,gonzaga,kentucky,seton-hall,texas-tech,arkansas,tennessee,cincinnati,clemson,butler
elton-alexander,michigan-state,duke,villanova,xavier,arizona,arizona-state,west-virginia,wichita-state,virginia,texas-am,oklahoma,kansas,tcu,north-carolina,purdue,miami-fl,kentucky,gonzaga,cincinnati,texas-tech,baylor,tennessee,seton-hall,florida-state,creighton
gary-daposamato,michigan-state,duke,xavier,villanova,west-virginia,wichita-state,virginia,arizona-state,kansas,oklahoma,north-carolina,miami-fl,kentucky,purdue,tcu,arizona,texas-am,gonzaga,seton-hall,cincinnati,texas-tech,arkansas,baylor,clemson,tennessee
geoff-grammer,michigan-state,duke,villanova,west-virginia,arizona,arizona-state,virginia,purdue,oklahoma,kansas,texas-am,wichita-state,xavier,kentucky,north-carolina,miami-fl,tcu,cincinnati,texas-tech,gonzaga,seton-hall,arkansas,clemson,tennessee,creighton
