ACC,"Boston College",783,boston-college
ACC,Clemson,1603,clemson
ACC,Duke,2265,duke
ACC,"Florida St",2666,florida-state
ACC,"Georgia Tech",2911,georgia-tech
ACC,Louisville,4224,louisville
ACC,"Miami FL",4719,miami-fl
ACC,"North Carolina",5492,north-carolina
ACC,"NC State",5511,north-carolina-state
ACC,"Notre Dame",5749,notre-dame
ACC,Pittsburgh,6236,pittsburgh
ACC,Syracuse,7729,syracuse
ACC,Virginia,8432,virginia
ACC,"Virginia Tech",8459,virginia-tech
ACC,"Wake Forest",8508,wake-forest
AEC,"Albany NY",123,albany
AEC,Binghamton,700,binghamton
AEC,Hartford,3150,hartford
AEC,Maine,4319,maine
AEC,"New Hampshire",5342,new-hampshire
AEC,"Stony Brook",7642,stony-brook
AEC,"MA Lowell",4540,umass-lowell
AEC,UMBC,4487,umbc
AEC,Vermont,8393,vermont
"American Athletic Conference (AAC)",Cincinnati,1529,cincinnati
"American Athletic Conference (AAC)",Connecticut,1872,connecticut
"American Athletic Conference (AAC)","East Carolina",2292,east-carolina
"American Athletic Conference (AAC)",Houston,3347,houston
"American Athletic Conference (AAC)",Memphis,4636,memphis
"American Athletic Conference (AAC)",SMU,7358,smu
"American Athletic Conference (AAC)","South Florida",7278,south-florida
"American Athletic Conference (AAC)",Temple,7788,temple
"American Athletic Conference (AAC)",Tulane,8092,tulane
"American Athletic Conference (AAC)",Tulsa,8099,tulsa
"American Athletic Conference (AAC)",UCF,1380,ucf
"American Athletic Conference (AAC)","Wichita St",8898,wichita-state
"Atlantic 10",Davidson,2069,davidson
"Atlantic 10",Dayton,2085,dayton
"Atlantic 10",Duquesne,2272,duquesne
"Atlantic 10",Fordham,2682,fordham
"Atlantic 10","George Mason",2855,george-mason
"Atlantic 10","G Washington",2861,george-washington
"Atlantic 10","La Salle",3869,la-salle
"Atlantic 10",Massachusetts,4548,massachusetts
"Atlantic 10","Rhode Island",6516,rhode-island
"Atlantic 10",Richmond,6547,richmond
"Atlantic 10","St Joseph's PA",6817,saint-josephs
"Atlantic 10","St Louis",6841,saint-louis
"Atlantic 10","St Bonaventure",6763,st-bonaventure
"Atlantic 10","VA Commonwealth",8443,vcu
"Atlantic Sun","FL Gulf Coast",2649,florida-gulf-coast
"Atlantic Sun",Jacksonville,3599,jacksonville
"Atlantic Sun",Kennesaw,3766,kennesaw-state
"Atlantic Sun",Lipscomb,2065,lipscomb
"Atlantic Sun",NJIT,5366,njit
"Atlantic Sun","North Florida",5558,north-florida
"Atlantic Sun","SC Upstate",7254,sc-upstate
"Atlantic Sun",Stetson,7613,stetson
"Big 12",Baylor,557,baylor
"Big 12","Iowa St",3554,iowa-state
"Big 12",Kansas,3717,kansas
"Big 12","Kansas St",3731,kansas-state
"Big 12",Oklahoma,5886,oklahoma
"Big 12","Oklahoma St",5912,oklahoma-state
"Big 12",TCU,7878,tcu
"Big 12",Texas,7840,texas
"Big 12","Texas Tech",7918,texas-tech
"Big 12","West Virginia",8716,west-virginia
"Big East",Butler,1004,butler
"Big East",Creighton,1950,creighton
"Big East",DePaul,2157,depaul
"Big East",Georgetown,2868,georgetown
"Big East",Marquette,4425,marquette
"Big East",Providence,6358,providence
"Big East","Seton Hall",7099,seton-hall
"Big East","St John's",6797,st-johns
"Big East",Villanova,8415,villanova
"Big East",Xavier,9170,xavier
"Big Sky","E Washington",2383,eastern-washington
"Big Sky",Idaho,3415,idaho
