aaron-suttles,alabama,ohio-state,florida-state,usc,washington,clemson,penn-state,oklahoma,wisconsin,auburn,oklahoma-state,stanford,lsu,florida,michigan,georgia,louisville,south-florida,miami-fl,texas,tcu,virginia-tech,kansas-state,utah,tennessee
adam-jude,alabama,ohio-state,washington,usc,florida-state,clemson,oklahoma,penn-state,wisconsin,oklahoma-state,auburn,stanford,louisville,michigan,lsu,georgia,florida,utah,west-virginia,tennessee,south-florida,miami-fl,virginia-tech,washington-state,kansas-state
adam-zucker,alabama,ohio-state,florida-state,usc,penn-state,clemson,oklahoma-state,washington,auburn,oklahoma,stanford,florida,lsu,michigan,georgia,south-florida,texas,virginia-tech,wisconsin,louisville,miami-fl,notre-dame,ucla,west-virginia,brigham-young
andy-bitter,alabama,ohio-state,florida-state,clemson,usc,penn-state,oklahoma,washington,lsu,michigan,wisconsin,oklahoma-state,auburn,louisville,stanford,florida,georgia,miami-fl,virginia-tech,south-florida,tcu,kansas-state,texas,notre-dame,tennessee
andy-greder,alabama,usc,ohio-state,florida-state,penn-state,oklahoma,clemson,washington,oklahoma-state,auburn,wisconsin,michigan,lsu,stanford,louisville,georgia,florida,miami-fl,south-florida,tcu,boise-state,northwestern,texas,west-virginia,utah
bill-landis,alabama,florida-state,ohio-state,usc,oklahoma,penn-state,clemson,washington,oklahoma-state,michigan,lsu,wisconsin,auburn,stanford,georgia,florida,miami-fl,texas,notre-dame,south-florida,tcu,virginia-tech,louisville,oregon,northwestern
bob-asmussen,usc,alabama,florida-state,oklahoma,ohio-state,clemson,michigan,washington,penn-state,wisconsin,auburn,lsu,stanford,oklahoma-state,georgia,florida,kansas-state,louisville,south-florida,west-virginia,miami-fl,tennessee,texas,oregon,boise-state
brent-axe,alabama,florida-state,ohio-state,penn-state,usc,wisconsin,clemson,washington,oklahoma,louisville,oklahoma-state,auburn,stanford,lsu,georgia,michigan,florida,miami-fl,south-florida,tcu,washington-state,virginia-tech,west-virginia,kansas-state,colorado
bret-bloomquist,alabama,ohio-state,florida-state,clemson,usc,oklahoma,washington,penn-state,michigan,georgia,auburn,louisville,wisconsin,lsu,florida,oklahoma-state,kansas-state,stanford,west-virginia,miami-fl,south-florida,washington-state,pittsburgh,tennessee,texas
brian-howell,alabama,florida-state,ohio-state,usc,oklahoma,penn-state,washington,oklahoma-state,lsu,clemson,wisconsin,stanford,auburn,michigan,florida,kansas-state,miami-fl,louisville,georgia,south-florida,tcu,virginia-tech,tennessee,colorado,oregon
chris-murray,alabama,ohio-state,usc,florida-state,washington,clemson,penn-state,oklahoma,wisconsin,stanford,florida,michigan,miami-fl,oklahoma-state,lsu,auburn,louisville,kansas-state,georgia,west-virginia,virginia-tech,texas,south-florida,san-diego-state,notre-dame
chuck-carlton,alabama,florida-state,ohio-state,usc,oklahoma,penn-state,washington,oklahoma-state,clemson,auburn,wisconsin,michigan,florida,stanford,louisville,georgia,miami-fl,lsu,kansas-state,west-virginia,washington-state,south-florida,virginia-tech,tcu,northwestern
dave-foster,alabama,ohio-state,usc,florida-state,clemson,washington,penn-state,michigan,oklahoma,lsu,oklahoma-state,auburn,wisconsin,stanford,louisville,georgia,miami-fl,florida,west-virginia,virginia-tech,south-florida,kansas-state,texas-am,washington-state,tennessee
dave-reardon,alabama,clemson,penn-state,florida-state,ohio-state,oklahoma,lsu,washington,wisconsin,usc,michigan,louisville,florida,stanford,oklahoma-state,virginia-tech,tennessee,south-florida,miami-fl,georgia,washington-state,tulsa,auburn,appalachian-state,san-diego-state
