2229,2116,"Thu, Aug 31",17,61
2116,120,"Sat, Sept 23",38,10
235,2116,"Sat, Sept 30",13,40
2116,2132,"Sat, Oct 7",51,23
151,2116,"Sat, Oct 14",21,63
2116,2426,"Sat, Oct 21",31,21
2046,2116,"Sat, Oct 28",33,73
2116,2567,"Sat, Nov 4",31,24
41,2116,"Sat, Nov 11",24,49
2116,218,"Sat, Nov 18",,
58,2116,"Fri, Nov 24",,
58,23,"Sat, Aug 26",42,22
2619,58,"Sat, Sept 2",17,31
356,58,"Fri, Sept 15",23,47
218,58,"Thu, Sept 21",7,43
58,151,"Sat, Sept 30",61,31
2132,58,"Sat, Oct 14",3,33
58,2655,"Sat, Oct 21",34,28
248,58,"Sat, Oct 28",28,24
58,41,"Sat, Nov 4",37,20
202,58,"Thu, Nov 16",7:30 PM ET,7:30 PM E
58,2116,"Fri, Nov 24",,
218,87,"Sat, Sept 2",16,49
222,218,"Sat, Sept 9",13,16
113,218,"Fri, Sept 15",21,29
218,58,"Thu, Sept 21",7,43
248,218,"Sat, Sept 30",20,13
218,151,"Sat, Oct 7",34,10
41,218,"Sat, Oct 14",28,24
218,349,"Sat, Oct 21",28 OT,31
2426,218,"Thu, Nov 2",26,34
218,2132,"Fri, Nov 10",35,24
2116,218,"Sat, Nov 18",,
218,202,"Sat, Nov 25",,
107,41,"Thu, Aug 31",20,27
41,258,"Sat, Sept 16",18,38
151,41,"Sun, Sept 24",41,38
41,2567,"Sat, Sept 30",28,49
235,41,"Fri, Oct 6",70,31
41,218,"Sat, Oct 14",28,24
202,41,"Sat, Oct 21",14,20
142,41,"Sat, Oct 28",52,12
58,41,"Sat, Nov 4",37,20
41,2116,"Sat, Nov 11",24,49
41,2132,"Sat, Nov 25",,
2046,2132,"Thu, Aug 31",14,26
2132,130,"Sat, Sept 9",14,36
2132,193,"Sat, Sept 16",21,17
2132,2426,"Sat, Sept 23",32,42
276,2132,"Sat, Sept 30",38,21
2116,2132,"Sat, Oct 7",51,23
2132,58,"Sat, Oct 14",3,33
2567,2132,"Sat, Oct 21",31,28 OT
2132,2655,"Sat, Nov 4",17,16
218,2132,"Fri, Nov 10",35,24
41,2132,"Sat, Nov 25",,
256,151,"Sat, Sept 2",34,14
151,277,"Sat, Sept 9",20,56
259,151,"Sat, Sept 16",64,17
151,41,"Sun, Sept 24",41,38
58,151,"Sat, Sept 30",61,31
218,151,"Sat, Oct 7",34,10
151,2116,"Sat, Oct 14",21,63
252,151,"Sat, Oct 21",17,33
151,248,"Sat, Nov 4",27,52
2655,151,"Sat, Nov 11",31,24 OT
151,235,"Sat, Nov 25",,
2433,235,"Thu, Aug 31",29,37
26,235,"Sat, Sept 16",45,48
79,235,"Sat, Sept 23",31,44
235,2116,"Sat, Sept 30",13,40
235,41,"Fri, Oct 6",70,31
2426,235,"Sat, Oct 14",27,30
235,248,"Thu, Oct 19",42,38
2655,235,"Fri, Oct 27",26,56
235,202,"Fri, Nov 3",41,14
2567,235,"Sat, Nov 18",,
151,235,"Sat, Nov 25",,
248,12,"Sat, Sept 9",19,16
242,248,"Sat, Sept 16",3,38
2641,248,"Sat, Sept 23",27,24
248,218,"Sat, Sept 30",20,13
2567,248,"Sat, Oct 7",22,35
248,202,"Sat, Oct 14",17,45
235,248,"Thu, Oct 19",42,38
248,58,"Sat, Oct 28",28,24
151,248,"Sat, Nov 4",27,52
248,2655,"Sat, Nov 18",,
2426,248,"Fri, Nov 24",,
2426,2226,"Fri, Sept 1",42,19
2655,2426,"Sat, Sept 9",21,23
2132,2426,"Sat, Sept 23",32,42
2426,202,"Sat, Sept 30",31,21
2005,2426,"Sat, Oct 7",45,48
2426,235,"Sat, Oct 14",27,30
2116,2426,"Sat, Oct 21",31,21
2426,218,"Thu, Nov 2",26,34
2567,2426,"Sat, Nov 11",40,43
2426,248,"Fri, Nov 24",,
2617,2567,"Sat, Sept 2",14,58
249,2567,"Sat, Sept 9",32,54
2567,2628,"Sat, Sept 16",36,56
2032,2567,"Sat, Sept 23",21,44
41,2567,"Sat, Sept 30",28,49
2567,248,"Sat, Oct 7",22,35
2567,2132,"Sat, Oct 21",31,28 OT
202,2567,"Fri, Oct 27",34,38
2116,2567,"Sat, Nov 4",31,24
2567,2426,"Sat, Nov 11",40,43
2567,235,"Sat, Nov 18",,
2755,2655,"Sat, Sept 2",14,43
2655,2426,"Sat, Sept 9",21,23
2655,201,"Sat, Sept 16",14,56
349,2655,"Sat, Sept 23",17,21
202,2655,"Sat, Oct 7",28,62
2655,2229,"Sat, Oct 14",10,23
58,2655,"Sat, Oct 21",34,28
2655,235,"Fri, Oct 27",26,56
2132,2655,"Sat, Nov 4",17,16
2655,151,"Sat, Nov 11",31,24 OT
248,2655,"Sat, Nov 18",,
202,197,"Thu, Aug 31",24,59
309,202,"Sat, Sept 9",42,66
202,2649,"Sat, Sept 16",51,54
167,202,"Sat, Sept 23",16,13
2426,202,"Sat, Sept 30",31,21
202,2655,"Sat, Oct 7",28,62
248,202,"Sat, Oct 14",17,45
202,41,"Sat, Oct 21",14,20
202,2567,"Fri, Oct 27",34,38
235,202,"Fri, Nov 3",41,14
202,58,"Thu, Nov 16",7:30 PM E,7:30 PM ET
218,202,"Sat, Nov 25",,
2229,2116,"Thu, Aug 31",17,61
2116,120,"Sat, Sept 23",38,10
235,2116,"Sat, Sept 30",13,40
2116,2132,"Sat, Oct 7",51,23
151,2116,"Sat, Oct 14",21,63
2116,2426,"Sat, Oct 21",31,21
2046,2116,"Sat, Oct 28",33,73
2116,2567,"Sat, Nov 4",31,24
41,2116,"Sat, Nov 11",24,49
2116,218,"Sat, Nov 18",,
58,2116,"Fri, Nov 24",,
58,23,"Sat, Aug 26",42,22
2619,58,"Sat, Sept 2",17,31
356,58,"Fri, Sept 15",23,47
218,58,"Thu, Sept 21",7,43
58,151,"Sat, Sept 30",61,31
2132,58,"Sat, Oct 14",3,33
58,2655,"Sat, Oct 21",34,28
248,58,"Sat, Oct 28",28,24
58,41,"Sat, Nov 4",37,20
202,58,"Thu, Nov 16",7:30 PM ET,7:30 PM E
58,2116,"Fri, Nov 24",,
218,87,"Sat, Sept 2",16,49
222,218,"Sat, Sept 9",13,16
113,218,"Fri, Sept 15",21,29
218,58,"Thu, Sept 21",7,43
248,218,"Sat, Sept 30",20,13
218,151,"Sat, Oct 7",34,10
41,218,"Sat, Oct 14",28,24
218,349,"Sat, Oct 21",28 OT,31
2426,218,"Thu, Nov 2",26,34
218,2132,"Fri, Nov 10",35,24
2116,218,"Sat, Nov 18",,
218,202,"Sat, Nov 25",,
107,41,"Thu, Aug 31",20,27
41,258,"Sat, Sept 16",18,38
151,41,"Sun, Sept 24",41,38
41,2567,"Sat, Sept 30",28,49
235,41,"Fri, Oct 6",70,31
41,218,"Sat, Oct 14",28,24
202,41,"Sat, Oct 21",14,20
142,41,"Sat, Oct 28",52,12
58,41,"Sat, Nov 4",37,20
41,2116,"Sat, Nov 11",24,49
41,2132,"Sat, Nov 25",,
2046,2132,"Thu, Aug 31",14,26
2132,130,"Sat, Sept 9",14,36
2132,193,"Sat, Sept 16",21,17
2132,2426,"Sat, Sept 23",32,42
276,2132,"Sat, Sept 30",38,21
2116,2132,"Sat, Oct 7",51,23
2132,58,"Sat, Oct 14",3,33
2567,2132,"Sat, Oct 21",31,28 OT
2132,2655,"Sat, Nov 4",17,16
